V,N,time_ms
5000,25,4.000
10000,50,5.000
15000,75,11.000
20000,100,19.000
25000,125,28.000
30000,150,43.000
35000,175,60.000
40000,200,75.000
45000,225,100.000
50000,250,116.000
55000,275,148.000
60000,300,165.000
65000,325,207.000
70000,350,226.000
75000,375,263.000
80000,400,300.000
85000,425,377.000
90000,450,398.000
95000,475,444.000
100000,500,485.000
105000,525,525.000
110000,550,556.000
115000,575,635.000
120000,600,647.000
125000,625,701.000
130000,650,779.000
135000,675,872.000
140000,700,996.000
145000,725,985.000
150000,750,1146.000
155000,775,1154.000
160000,800,1296.000
165000,825,1326.000
170000,850,1444.000
175000,875,1465.000
180000,900,1595.000
185000,925,1611.000
190000,950,1662.000
195000,975,1747.000
200000,1000,1767.000
